2025-09-19 at 11:45:19 | INFO | Бот успешно запущен.
2025-09-19 at 11:45:42 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 11:45:42 | INFO | Запись не найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 11:45:42 | INFO | Добавление записи User с параметрами: {'telegram_id': 1330085937, 'username': 'p_irozhok', 'first_name': 'Вика', 'last_name': None}
2025-09-19 at 11:45:42 | INFO | Запись User успешно добавлена.
2025-09-19 at 12:55:13 | ERROR | Бот остановлен!
2025-09-19 at 12:55:22 | INFO | Бот успешно запущен.
2025-09-19 at 12:55:43 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 12:55:43 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 12:56:29 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 12:56:29 | INFO | Найдено 3 записей.
2025-09-19 at 12:56:32 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-19 at 12:56:32 | INFO | Найдено 0 записей.
2025-09-19 at 12:56:35 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-09-19 at 12:56:35 | INFO | Найдено 0 записей.
2025-09-19 at 12:56:37 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 3}
2025-09-19 at 12:56:37 | INFO | Найдено 0 записей.
2025-09-19 at 12:57:15 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 12:57:15 | INFO | Найдено 0 записей.
2025-09-19 at 12:57:39 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 12:57:39 | INFO | Найдено 3 записей.
2025-09-19 at 12:57:58 | INFO | Поиск Category с ID: 1
2025-09-19 at 12:57:58 | INFO | Запись с ID 1 найдена.
2025-09-19 at 12:58:11 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-19 at 12:58:11 | INFO | Найдено 0 записей.
2025-09-19 at 12:58:22 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 12:58:22 | INFO | Найдено 3 записей.
2025-09-19 at 12:58:23 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-19 at 12:58:23 | INFO | Найдено 0 записей.
2025-09-19 at 12:58:30 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-09-19 at 12:58:30 | INFO | Найдено 0 записей.
2025-09-19 at 12:58:31 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 3}
2025-09-19 at 12:58:31 | INFO | Найдено 0 записей.
2025-09-19 at 12:58:37 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 12:58:37 | INFO | Найдено 3 записей.
2025-09-19 at 12:58:57 | ERROR | Бот остановлен!
2025-09-19 at 13:38:03 | INFO | Бот успешно запущен.
2025-09-19 at 13:38:13 | ERROR | Бот остановлен!
2025-09-19 at 13:38:18 | INFO | Бот успешно запущен.
2025-09-19 at 13:39:47 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:39:47 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:43:01 | ERROR | Бот остановлен!
2025-09-19 at 13:43:18 | INFO | Бот успешно запущен.
2025-09-19 at 13:43:22 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:43:22 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:43:31 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:43:43 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:43:43 | INFO | Найдено 0 записей.
2025-09-19 at 13:43:50 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:43:50 | INFO | Найдено 0 записей.
2025-09-19 at 13:44:51 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:44:53 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:44:54 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:44:54 | INFO | Найдено 0 записей.
2025-09-19 at 13:45:04 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:45:08 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:45:09 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:45:09 | INFO | Найдено 0 записей.
2025-09-19 at 13:46:10 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:46:10 | INFO | Найдено 0 записей.
2025-09-19 at 13:46:11 | INFO | Поиск всех записей Product по фильтрам: {}
2025-09-19 at 13:46:11 | INFO | Найдено 0 записей.
2025-09-19 at 13:46:27 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 13:46:27 | INFO | Найдено 3 записей.
